playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,6VrLYoQKdhu1Jruei06t65,Somebody To You,0.0587,0.526,185098,0.818,0,3,0.333,-5.952,1,0.0358,171.96,4,0.896,0.359,0.701,0.149,0.982,0.19138,179.33351,Happy
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,2fooMOezILHFlxkCqq3RRm,Rockland,0.786,0.486,217369,0.402,0.000182,5,0.103,-11.389,1,0.048,125.801,4,0.398,0.798,0.646,0.166,1,0.20893,207.52254,Sad
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,5KCbr5ndeby4y4ggthdiAb,Wonder,0.131,0.333,172693,0.637,0.000018,1,0.149,-4.904,0,0.0581,139.898,4,0.132,0.107,0.337,0.303,0.34,0.20834,167.5668,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2EvddT8rcO99bKH0rDHAYG,We Are Tonight,0.0323,0.559,232107,0.812,0,11,0.195,-5.347,1,0.0371,127.911,4,0.472,0.607,0.602,0.696,0.897,2.53678,213.43782,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,0.578,0.604,224695,0.366,0,5,0.133,-7.519,1,0.0282,141.981,4,0.13,0.545,0.58,0.432,1,0.26807,209.58913,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1fhFDn9W8ehz6rqomxDUW4,Leave Me Low,0.54,0.733,178560,0.411,0.00169,10,0.182,-11.507,1,0.0407,125.03,4,0.359,0.531,0.463,0.754,0.691,0,176.2859,Chill
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,78nplE9X2ZGvQh3TKgvldE,Rewrite The Stars (with James Arthur & Anne-Marie),0.237,0.67,218293,0.743,0,10,0.465,-4.993,1,0.0393,125.944,4,0.571,0.586,0.42,0.952,0.977,2.74576,211.6615,Happy
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,2cEMwE3n0z4Uw4xVwNqDst,Learning To Live Without You,0.747,0.559,193785,0.237,0.00000205,0,0.125,-15.007,1,0.0537,67.442,4,0.174,0.241,0.51,0.014,0.779,0,185.07465,Sad
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,0.269,0.737,192453,0.747,0,10,0.219,-4.818,1,0.0323,105.943,4,0.447,0.478,0.43,0.655,0.961,0.34222,189.11491,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,5PAvFGse5jjDH9ke8Mae7D,Just the Way,0.107,0.544,193880,0.829,0,9,0.317,-2.84,1,0.0404,90.048,4,0.815,0.573,0.575,0.026,0.986,0.20898,181.84126,Energetic
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,3FeVmId7tL5YN8B7R3imoM,My Universe,0.00813,0.588,228000,0.701,0,9,0.2,-6.39,1,0.0402,104.988,4,0.443,0.089,0.174,0.505,1,2.53678,214.61624,Happy
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,2s3CzgeeA7NpLP87ZDbmC8,South Dakota,0.691,0.679,191091,0.332,0,9,0.372,-8.348,1,0.0424,130.013,4,0.675,0.543,0.635,0.398,0.857,0.33084,177.6849,Sad
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,31qCy5ZaophVA81wtlwLc4,Anyone,0.181,0.686,190779,0.538,0.00000313,2,0.113,-8.026,1,0.0345,115.884,4,0.584,0.511,0.651,0.921,0.842,2.00853,184.34901,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,0z8hI3OPS8ADPWtoCjjLl6,Summer of Love (Shawn Mendes & Tainy),0.0297,0.776,184104,0.808,0.000127,11,0.103,-4.501,1,0.117,123.988,4,0.494,0.29,0.49,0.781,0.989,0.23234,179.4206,Happy
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,6qnULXVFGfFqPj0Hpj0tIG,Underwater,0.00745,0.672,297636,0.679,0.0811,2,0.0532,-6.068,1,0.0294,123.019,4,0.321,0.848,0.747,0.711,0.997,0,294.76572,Chill
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,5qDERSuqkR2swJWGkH2Oox,Everything Changes,0.87,0.461,190093,0.334,0,10,0.109,-6.829,1,0.0292,144.547,4,0.207,0.572,0.607,0.192,0.432,0.2263,170.79437,Sad
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,0.882,0.541,176972,0.153,0.00000166,6,0.16,-10.654,1,0.0303,139.644,4,0.359,0.672,0.824,0.205,0.905,0.35542,169.3083,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,7xMFk2Vj2hALyMdzHFopJl,Home Sweet,0.0386,0.58,205947,0.813,0.00000144,11,0.0926,-5.621,1,0.0414,120.973,4,0.473,0.744,0.675,0.765,0.969,0.12018,196.04027,Energetic
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,0.00614,0.737,143901,0.846,0,1,0.0486,-4.51,0,0.22,87.981,4,0.546,0.414,0.518,0.065,1,0.20299,140.71294,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,6rAGFY9D3ah6Lb7fUgbNNH,Fake A Smile,0.212,0.447,168118,0.553,0,0,0.165,-4.817,1,0.0322,149.877,4,0.252,0.546,0.599,0.224,0.51,0.11642,161.49478,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,6bQfNiqyCX7UaQSvVVGo4I,Shivers,0.281,0.788,207853,0.859,0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822,0.242,0.529,0.441,1,0.20889,202.04845,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0QULNNd9z5s35entfiiXoa,Drunk (And I Don't Wanna Go Home),0.00516,0.612,245626,0.884,0,5,0.0997,-4.4,1,0.0459,119.991,4,0.626,0.82,0.574,0.68,1,0.19746,234.53316,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,6WxcciullH40H7bbGbDXlq,Never Give Up,0.483,0.718,231724,0.522,0.835,2,0.0613,-13.119,1,0.0367,115.994,4,0.382,0.325,0.448,0.892,0.967,0,210.45406,Chill
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,3DmW6y7wTEYHJZlLo1r6XJ,Shower,0.0317,0.699,206167,0.529,0.0000359,2,0.285,-7.548,1,0.0487,119.987,4,0.121,0.661,0.729,0.284,1,0.2912,199.06467,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),0.216,0.595,183726,0.784,0,1,0.0608,-4.878,1,0.102,124.111,4,0.479,0,0.249,0.722,1,0.21483,177.53397,Happy
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,1is8gU4RVcN4J8xItxWoOY,I GUESS I'M IN LOVE,0.877,0.422,204094,0.34,0.0000177,0,0.149,-6.577,1,0.0351,77.213,4,0.223,0.692,0.732,0.233,0.537,0.31932,196.9865,Angry
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,3VqeTFIvhxu3DIe4eZVzGq,Butter,0.00323,0.759,164442,0.459,0,8,0.0906,-5.187,1,0.0948,109.997,4,0.695,0.366,0.506,0.763,0.954,0.21478,161.12328,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,3hboOw4dS0aXGuP0fyyvbC,Somebody Like That,0.0152,0.574,198209,0.798,0,6,0.111,-5.356,1,0.0485,105.034,4,0.58,0.767,1,0.332,1,0.17995,188.12227,Energetic
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,6SFStUDQZNaGPKWOx9ZiJB,2002,0.0372,0.697,186987,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,0.251,0.406,0.264,1,0.20313,180.07076,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,23EquxExXkNmGCCY96P0Iu,Hailey,0.0367,0.462,193355,0.745,0,0,0.0795,-6.588,0,0.0699,100.042,4,0.254,0,0.272,0.315,1,0.21039,193.35474,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,2UbVnbE5FH6008mAm6Mmgw,Run,0.326,0.682,169011,0.72,0,11,0.148,-8.173,0,0.0381,117.003,4,0.673,0.47,0.559,0.875,1,0.222,163.06213,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,14GwnOeC9qYEKEA6uOZepa,One Of Them Girls,0.294,0.643,188893,0.79,0,4,0.107,-6.079,1,0.0462,95.987,4,0.8,0.333,0.42,0.681,1,4.98649,184.51157,Energetic
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,0v1x6rN6JHRapa03JElljE,Dynamite,0.0112,0.746,199054,0.765,0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737,0.753,0.511,0.922,1,0.22045,193.13779,Happy
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,0ZXdzaT1k688dkpNeEgQiV,I Don't Know Why,0.124,0.499,207668,0.898,0.0000072,8,0.0832,-4.181,0,0.124,120.04,4,0.618,0.483,0.461,0.102,1,0.16172,201.32281,Happy
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,7lPN2DXiMsVn7XUKtOW1CS,drivers license,0.721,0.585,242014,0.436,0.0000131,10,0.105,-8.761,1,0.0601,143.874,4,0.132,0.697,0.544,0.252,0.994,0.21488,234.7131,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1xjvIE3l0BACb24sF2TpPH,Assassin,0.0587,0.637,326000,0.687,0.704,11,0.0917,-8.63,1,0.041,119.995,4,0.0878,0.548,0.531,0.733,1,0,319.315,Chill
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,05CwHjIk71RXVU40boRMnR,Call You Mine (feat. Bebe Rexha),0.225,0.591,217653,0.702,0,7,0.414,-5.59,1,0.0289,104.003,4,0.501,0.173,0.397,0.624,1,0,211.74857,Happy
